salinity,temperature,humidity,time_of_day,moisture_below_60
0.75,35.4,53,14.3,1
1.97,35.2,53,14.68,1
0.76,31.3,71,19.05,1
0.65,30.2,70,20,1
1.3,28.2,89,20.33,1
0.7,29.2,75,1.32,1
1.1,28.2,84,6.05,1
1.48,28.1,84,8.27,1
1.99,30,63,9.32,1
1.98,34.4,63,13.6,1
0.57,31.6,57,14.68,1
0.91,27.1,94,22.17,1
0.54,32.2,67,9.77,1
0.55,33,63,10.32,1
0.78,34.4,60,12.22,1
1.72,35.1,56,12.33,1
0.96,35.2,56,14.12,1
1.93,29.2,79,19.15,1
0.9,31.2,71,17.95,1
2.81,30.1,66,0,0
7.11,30.3,66,4.77,0
5.82,30.3,70,8.5,0
2.97,28.2,72,9.02,0
2.41,33.1,59,9.35,0
5.25,33.4,53,18.83,0
6.81,33.3,53,19.05,0
1.49,30.3,66,22.92,1
0.59,29.4,66,6.03,1
1.23,31.3,66,7.93,1
1.55,28.7,69,8.93,1
1.24,36,50,13.45,1
1.93,36.1,50,14.03,1
1.89,36.1,50,14.18,1
1.45,36.1,50,14.25,1
0.56,35.1,50,15.05,1
1.32,35.3,56,15.4,1
1.16,33.1,59,19.07,1
1,31.1,63,22.37,1
1.87,31.2,63,23.63,1
1.97,30.3,66,0.65,1
0.96,30.1,70,1.43,1
1.94,29.3,70,4.55,1
1.31,35.2,50,13.47,1
1.25,30,64,17.55,1
1.78,32.2,63,20.88,1
0.81,31.2,66,21.97,1
1.52,31.3,71,22.77,1
1.65,27.3,89,2.85,1
1,30.1,75,8.72,1
1.86,34.2,60,12.52,1
1.09,34.3,53,13.83,1
1.42,33.3,59,18.52,1
0.49,30.1,70,23.5,1
1.83,35.1,53,12.33,1
1.07,30.3,70,19.6,1
1.61,29.1,70,23.43,1
0.61,29.3,70,0.12,1
1.36,29.2,75,0.32,1
1.29,28,84,3.63,1
1.8,28.1,84,7.77,1
1.63,28.1,84,8.3,1
1.16,35.1,56,13,1
1.23,35.3,56,13.48,1
1.23,34.2,63,11.38,1
0.95,34.4,63,12.2,1
1.41,29.2,66,4.67,1
0.44,36.4,42,17.23,1
1.61,29.1,75,14.72,1
1.21,32.4,71,19.08,1
1.11,31.1,75,19.42,1
2.84,30.1,66,23.92,0
8.33,30.2,70,0.83,0
7.29,30.2,66,3.58,0
7.62,30.3,70,8.23,0
1.87,29,66,0.98,1
1.28,29.1,66,2.68,1
1.23,29.4,66,6.02,1
1.38,29.1,66,6.62,1
0.95,31.3,66,7.85,1
1.96,31.2,66,8.78,1
1.22,30.4,61,9.87,1
1.39,34.3,56,11.92,1
0.95,34.1,53,16.52,1
1.42,34.3,56,17.35,1
0.56,31.1,63,21.37,1
